Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g),Meal_type,Region,Type,Categories
Squid Salad,Squid Salad, 100 g,175,8,7,18,Dinner,All Indian,Vegetarian,Healthy
Dry squid,Dry squid, 1 piece (25g),80,0,1,17,Dinner,All Indian,Vegetarian,Healthy
Squid,Salt Pepper Squid, 100 g,200,12,10,18,Dinner,All Indian,Vegetarian,Healthy
Baked Squid,Mr. Squid, 1 oz.,110,14,1,12,Dinner,All Indian,Vegetarian,Healthy
Squid,Frozen Squid, 100 g,92,3,1,16,Dinner,All Indian,Vegetarian,Healthy
Squid,Rolled Squid, 0.17 cup,53,5,1,6,Dinner,All Indian,Vegetarian,Healthy
Oven Baked (Roast) Squid,Generic, 1 cup cooked,154,4,5,21,Dinner,All Indian,Vegetarian,Healthy
Squid,Carl's Crispy Squid, 100 g,395,26,21,29,Dinner,All Indian,Vegetarian,Healthy
squid cake ,squid cake, 60 gram,90,14,1,6,Dinner,All Indian,Vegetarian,Healthy
Squid Balls,Squid Balls, 44 g,70,15,0,3,Dinner,All Indian,Vegetarian,Healthy
RoastÂ squidÂ shreds,SquidÂ Man, 38 g,119,15,1,13,Breakfast,All Indian,Vegetarian,Healthy
Roast Squid,Old Fisherman, 30 g,63,3,3,6,Breakfast,All Indian,Vegetarian,Healthy
Roast squid,Mailing, 10 g,32,5,0,3,Breakfast,All Indian,Vegetarian,Healthy
Food,Roast squid, 50 gram s,170,17,1,20,Breakfast/Lunch/Snacks/Dinner,All Indian,Vegetarian,Healthy
Roast Dried Squid Shaving,Korchic, 15 g (5 pieces),43,3,0,7,Breakfast,All Indian,Vegetarian,Healthy
Squid*,Squid Ring, 100 g,100,3,2,17,Lunch/Dinner,All Indian,Vegetarian,Healthy
squid,squid chunks, 1 cup,64,0,5,0,Dinner,All Indian,Vegetarian,Healthy
Squid,Whole Squid, 4 oz,60,0,2,11,Dinner,All Indian,Vegetarian,Healthy
Canned Roast Squid,Old Fisherman, 30 g,63,3,3,6,Dinner,All Indian,Vegetarian,Healthy
Cooked Squid - Nicks,Squid, 1 oz,26,3,1,4,Dinner,All Indian,Vegetarian,Healthy
Squid Salad,Squid Salad, 100 g,175,8,7,18,Dinner,All Indian,Vegetarian,Healthy
Dry squid,Dry squid, 1 piece (25g),80,0,1,17,Dinner,All Indian,Vegetarian,Healthy
Squid,Salt Pepper Squid, 100 g,200,12,10,18,Dinner,All Indian,Vegetarian,Healthy
Baked Squid,Mr. Squid, 1 oz.,110,14,1,12,Dinner,All Indian,Vegetarian,Healthy
Squid,Frozen Squid, 100 g,92,3,1,16,Dinner,All Indian,Vegetarian,Healthy
Squid,Rolled Squid, 0.17 cup,53,5,1,6,Dinner,All Indian,Vegetarian,Healthy
Oven Baked (Roast) Squid,Generic, 1 cup cooked,154,4,5,21,Dinner,All Indian,Vegetarian,Healthy
Squid,Carl's Crispy Squid, 100 g,395,26,21,29,Dinner,All Indian,Vegetarian,Healthy
Squid Balls,Squid Balls, 44 g,70,15,0,3,Dinner,All Indian,Vegetarian,Healthy
squid cake ,squid cake, 60 gram,90,14,1,6,Dinner,All Indian,Vegetarian,Healthy
Chocolate Cheesecake,Cheesecake, 1 slice,330,34,19,6,Snacks,All Indian,Vegetarian,Healthy
Chocolate,Cheesecake, 1 piece,240,28,12,5,Snacks,All Indian,Vegetarian,Healthy
Cheesecake,Chocolate Variety Cheesecake, 76 g,280,30,16,4,Snacks,All Indian,Vegetarian,Healthy
Double chocolate cheesecake,Cheesecake, 1 slice,440,42,28,7,Snacks,All Indian,Vegetarian,Healthy
Chocolate Cheesecake,Aladdin, 1 Slice,384,32,27,8,Snacks,All Indian,Vegetarian,Healthy
Chocolate Moose Cheesecake ,Cheesecake Factory, 1 slice,780,68,55,11,Snacks,All Indian,Vegetarian,Healthy
Decadent Chocolate Peanutbutter Cheesecake,Cheesecake, 0.063 of pie,404,26,31,8,Snacks,All Indian,Vegetarian,Healthy
Cheesecake,White Chocolate Raspberry Cheesecake, 1 slice,412,34,28,7,Snacks,All Indian,Vegetarian,Healthy
Chocolate Cheesecake,Tesco, 100 g,334,33,20,5,Snacks,All Indian,Vegetarian,Healthy
Hershey's Chocolate Bar Cheesecake,Cheesecake Factory, 1 Slice (142g),500,61,29,6,Snacks,All Indian,Vegetarian,Healthy
Cheesecake,Philadelphia Chocolate Cheesecake Homemade, 0.063 pieces,440,36,31,7,Snacks,All Indian,Vegetarian,Healthy
Godiva Chocolate Cheesecake,Cheesecake Factory1, 1 slice,1400,110,105,15,Snacks,All Indian,Vegetarian,Healthy
Chocolate Coconut Cheesecake,Cheesecake Factory, 1 large slice,1050,118,41,0,Snacks,All Indian,Vegetarian,Healthy
German Chocolate Cheesecake,Cheesecake Factory, 1 slice,1040,122,60,15,Snacks,All Indian,Vegetarian,Healthy
Chocolate Cheesecake,Atlanta Cheesecake Company, 1 slice,290,33,17,4,Snacks,All Indian,Vegetarian,Healthy
Cheesecake,Walmart Chocolate Lovers Cheesecake, 1 slice (94g),380,37,24,5,Snacks,All Indian,Vegetarian,Healthy
Chocolate Cheesecake,Homemade, 0.083 pie,498,49,32,8,Snacks,All Indian,Vegetarian,Healthy
Cheesecake,Morrison's Double Chocolate Cheesecake, 100 g,375,40,21,5,Snacks,All Indian,Vegetarian,Healthy
White Chocolate Raspberry Cheesecake,Cheesecake Factory, 1 slice,250,22,17,3,Snacks,All Indian,Vegetarian,Healthy
Chocolate Cheesecake,Walmart, 1 Slice (85g)  1-1-14,330,30,22,5,Snacks,All Indian,Vegetarian,Healthy
Schezwan Noodles,Homemade Schezwan Mushroom Vegetable Noodles, 1 Cup Cooked,264,31,10,6,Dinner,All Indian,Vegetarian,Unhealthy
Chicken Schezwan Noodles,Indian, 1 cup,218,47,1,7,Dinner,All Indian,Vegetarian,Unhealthy
Schezwan Instant Noodles,Chings, 1 brick,257,36,10,6,Dinner,All Indian,Vegetarian,Unhealthy
Noodles schezwan,Knorr, 70 g,297,41,12,7,Dinner,All Indian,Vegetarian,Unhealthy
Schezwan Instant Noodles,Ching's, 60 gram,265,38,10,6,Dinner,All Indian,Vegetarian,Unhealthy
schezwan noodles ,chings, 60 gram,69,11,2,2,Dinner,All Indian,Vegetarian,Unhealthy
Schezwan Noodles,Knorr, 68 gm,346,43,17,7,Dinner,All Indian,Vegetarian,Unhealthy
veg,schezwan instant noodles, 60 g,265,38,10,6,Snacks,All Indian,Vegetarian,Healthy
Chinese Schezwan Noodles,Knorr, 100 g,424,58,17,9,Dinner,All Indian,Vegetarian,Unhealthy
Veg Schezwan Noodles,Dragon Chinese, 1 container,378,47,14,7,Dinner,All Indian,Vegetarian,Unhealthy
Chinese Schezwan Noodles,Knorr Noodles, 1 pack,346,43,17,7,Dinner,All Indian,Vegetarian,Unhealthy
Spicy Schezwan Noodles,Lean Cusine, 1 cup cooked,260,0,0,0,Dinner,All Indian,Vegetarian,Unhealthy
Chinese  schezwan noodles,Knorr, 1 serve ( 295 g) cooked,226,31,9,5,Dinner,All Indian,Vegetarian,Unhealthy
Chinese noodles schezwan,Knorr, 68 gm,288,40,12,6,Dinner,All Indian,Vegetarian,Unhealthy
Hakka Noodles with Schezwan,Chef's Basket, 206 gram,580,98,15,15,Dinner,All Indian,Vegetarian,Unhealthy
Hakka noodles with schezwan,Chefs basket, 226 gram,584,92,18,14,Dinner,All Indian,Vegetarian,Unhealthy
Schezwan Chicken,Chinese, 1 cup,362,8,4,19,Dinner,All Indian,Vegetarian,Healthy
Schezwan Sauce,Just, 100 g,152,10,13,2,Dinner,All Indian,Vegetarian,Healthy
Schezwan Beef,Restaurant, 7 oz,500,32,28,30,Dinner,All Indian,Vegetarian,Healthy
Schezwan Chicken,Irresitables, 265 g,380,52,9,19,Dinner,All Indian,Vegetarian,Healthy
nut cookies,nut cookies, 100 grama,556,58,30,6,Snacks,All Indian,Vegetarian,Healthy
Cookies,Brazil Nut Cookies, 6 cookies,163,18,9,2,Snacks,All Indian,Vegetarian,Healthy
Schogetten,Cookies&nut, 100 Gramm,568,54,37,5,Snacks,All Indian,Vegetarian,Healthy
cookies & nut,shogetten, 100 Ð³ÑÐ°Ð¼Ð¼Ð¾Ð²,568,54,37,5,Snacks,All Indian,Vegetarian,Healthy
Banana Nut Cookies,Braum's, 1 cookie,150,18,7,2,Snacks,All Indian,Vegetarian,Healthy
Macadamia Nut Cookies,Generic, 1 cookie,200,26,10,2,Snacks,All Indian,Vegetarian,Healthy
Date Nut Cookies,Awrey, 1 ea,180,27,8,2,Snacks,All Indian,Vegetarian,Healthy
macadamia nut cookies,Pillsbury, 1 cookie,170,22,9,1,Snacks,All Indian,Vegetarian,Healthy
Big Nut Cookies,Mcennedy, 100 g,505,56,27,8,Snacks,All Indian,Vegetarian,Healthy
Cashew Nut Cookies,Homemade, 1 pc,123,10,9,2,Snacks,All Indian,Vegetarian,Healthy
Cashew Nut Cookies,Homemade, 1 pc,123,10,9,2,Snacks,All Indian,Vegetarian,Healthy
Nut Crescent Cookies,Homeade, 1 cookie,64,6,4,1,Snacks,All Indian,Vegetarian,Healthy
Choco Nut Cookies,Unibic, 100 grams,517,62,27,7,Snacks,All Indian,Vegetarian,Healthy
Macadamia Nut Cookies,Reynolds, 1 cookie,180,20,10,1,Snacks,All Indian,Vegetarian,Healthy
Raisin Nut Cookies,Veestro, 3 oz (85 g),280,30,17,3,Snacks,All Indian,Vegetarian,Healthy
Cookies,Macadamia nut cookies, 3 cookies,800,96,42,9,Snacks,All Indian,Vegetarian,Healthy
Cookies,MacadamiasÂ nutÂ cookies, 3 cookies,170,17,10,2,Snacks,All Indian,Vegetarian,Healthy
Cookies,Jumble nut cookies, 1 cookie,270,34,14,4,Snacks,All Indian,Vegetarian,Healthy
Ginger Nut Cookies,Devon, 12 g,54,9,2,1,Snacks,All Indian,Vegetarian,Healthy
Banana-Nut Cookies,Myrecipes, 1 Cookie,77,9,4,2,Snacks,All Indian,Vegetarian,Healthy
Hazelnut Butter,Hazelnut Butter, 31 g,220,14,18,5,Snacks,All Indian,Vegetarian,Healthy
Hazelnut Butter,Justin's, 1 Packet,180,12,15,4,Snacks,All Indian,Vegetarian,Healthy
Hazelnut Butter,Meridian, 10 gram,69,1,7,2,Snacks,All Indian,Vegetarian,Healthy
Hazelnut Butter,Homemade, 1 Tbs,90,3,9,2,Snacks,All Indian,Vegetarian,Healthy
Hazelnut Butter,Nutella, 2 Tbsp,200,22,11,3,Snacks,All Indian,Vegetarian,Healthy
Hazelnut butter,Canadian hazelnut butter, 30 g,190,5,19,5,Snacks,All Indian,Vegetarian,Healthy
HazelnutÂ Butter,ChocolateÂ HazelnutÂ Butter, 30 g,190,8,17,4,Snacks,All Indian,Vegetarian,Healthy
hazelnut butter,bowmar hazelnut butter, 2 tbs,170,9,12,10,Snacks,All Indian,Vegetarian,Healthy
Hazelnut Butter,Justin's, 1 Packet,180,12,15,4,Snacks,All Indian,Vegetarian,Healthy
Hazelnut Butter,Biotoday, 100 g,655,7,61,15,Snacks,All Indian,Vegetarian,Healthy
Chocolate Hazelnut Butter,Justins, 1 pack (32g),180,12,15,4,Snacks,All Indian,Vegetarian,Healthy
Hazelnut Butter,Meridan, 100 g,681,6,66,17,Snacks,All Indian,Vegetarian,Healthy
Choc Hazelnut Butter,Justin's Chocolate Hazelnut Butter Blend, 1 packet,180,12,15,4,Snacks,All Indian,Vegetarian,Healthy
Hazelnut Butter,Generic, 2 tablespoons,190,7,16,6,Snacks,All Indian,Vegetarian,Healthy
Meridian,Hazelnut Butter, 2 tsps,68,1,7,2,Snacks,All Indian,Vegetarian,Healthy
Chocolate Hazelnut Butter,Justins, 1 pack (32g),180,12,15,4,Snacks,All Indian,Vegetarian,Healthy
Hazelnut Butter Chocolate Blend,Justin's Chocolate Hazelnut, 2 tbsp,180,12,14,4,Snacks,All Indian,Vegetarian,Healthy
hazelnut 100%,hazelnut butter, 15 gram,658,10,60,15,Snacks,All Indian,Vegetarian,Healthy
Chocolate Hazelnut Butter,Justin's, 1 pack - 32g,180,12,15,4,Snacks,All Indian,Vegetarian,Healthy
hazelnut butter,biona, 10 gram,69,2,6,2,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans,Starburst Jelly Beans, 27 pieces (40g),140,34,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans,Starburst Jelly Beans, 0.25 cup,140,34,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly Belly,Jelly Beans, 15 pieces,60,15,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans,Gourmet Jelly Beans, 24 pieces,160,40,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans,Jelly Bell, 35 pieces,140,37,0,0,Snacks,All Indian,Vegetarian,Healthy
jelly beans,braces jelly beans, 14 beans,150,0,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly beans,Sweet tart jelly beans, 35 pieces,130,33,0,0,Snacks,All Indian,Vegetarian,Healthy
jelly beans,mini jelly beans, 1 container,250,64,0,0,Snacks,All Indian,Vegetarian,Healthy
jelly beans,pectin jelly beans, 19 pieces,140,38,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans,Sour Patch Jelly Beans, 36 pieces,150,37,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans,Brach's Wunder Beans Jelly Beans, 28 Pieces,140,37,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans,Jelly Belly jelly beans, 40 grams,140,37,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly   Beans,Jelly Beans, 1 cup,326,80,1,1,Snacks,All Indian,Vegetarian,Healthy
Jelly beans,Teenee Beener jelly beans, 36 pieces,140,36,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans ,Green Beans Jelly Beans, 70 grams,260,65,0,4,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans,TUBS Jelly Beans, 100 gram,357,88,1,0,Snacks,All Indian,Vegetarian,Healthy
jelly beans,kmart jelly beans, 20 g,73,18,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans,Juicee Jelly Beans, 14 candies,110,27,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans,Brach's, 14 Pieces (42g),150,37,0,0,Snacks,All Indian,Vegetarian,Healthy
Jelly Beans,Jelly Beans, 42 g,150,38,0,0,Snacks,All Indian,Vegetarian,Healthy
Lauren Chili,Lauren Chili, 1 cup?,286,39,4,26,Snacks,All Indian,Vegetarian,Healthy
Frituras,Lauren, 12 gramo,51,6,3,1,Snacks,All Indian,Vegetarian,Healthy
Overnight Oats,Lauren Conrad, 1 cup,267,41,5,16,Snacks,All Indian,Vegetarian,Healthy
Drop Scone,Lauren Homemade, 1 SCONE,461,77,7,20,Snacks,All Indian,Vegetarian,Healthy
Shirt,Lauren Conrad, 1 ton,0,0,0,0,Snacks,All Indian,Vegetarian,Healthy
ranch light,lauren, 31 g,25,1,2,0,Snacks,All Indian,Vegetarian,Healthy
Salad Bowl Lauren,Chipotle, 1 bowl,600,49,19,53,Snacks,All Indian,Vegetarian,Healthy
Egg Whites,Lauren, 3 egg whites,51,0,0,10,Snacks,All Indian,Eggetarian,Healthy
Lauren Muffin,Generic, 1 each,225,0,0,0,Snacks,All Indian,Vegetarian,Healthy
Skinny Oatmeal Smoothie ,Lauren Conrad, 4 cups,548,186,4,20,Snacks,All Indian,Vegetarian,Healthy
Chicken Wings,Lauren, 3 wings,180,3,12,15,Snacks,All Indian,Non Vegetarian,Healthy
oatmeal cranberry cookies ,Sweet lauren, 38 g,150,24,6,2,Snacks,All Indian,Vegetarian,Healthy
salsa para ensaladas,Lauren, 30 gramo,25,1,2,0,Snacks,All Indian,Vegetarian,Healthy
Buritto Bowl -lauren,Qdoba, 1 burrito bowl,465,50,27,23,Snacks,All Indian,Vegetarian,Healthy
Delete-x,Delete-x, 1 g,1,34,3,9,Snacks,All Indian,Vegetarian,Healthy
Apple Butter ,Lauren Lynn, 1 Tbsp (17 g),35,9,0,0,Snacks,All Indian,Vegetarian,Healthy
X-tudo,X-tudo, 1 cup cooked,1250,0,0,0,Snacks,All Indian,Vegetarian,Healthy
"Cherries, Fresh (Each) Lauren Bell",Generic, 1 each,4,0,0,0,Snacks,All Indian,Vegetarian,Healthy
Bison Chili With Beans,Lauren Homemade, 1 cup,327,22,8,23,Snacks,All Indian,Vegetarian,Healthy
Crustless Quiche,Lauren Kelly, 1 slice,58,2,4,6,Snacks,All Indian,Vegetarian,Healthy
Lauren Chili,Lauren Chili, 1 cup?,286,39,4,26,Snacks,All Indian,Vegetarian,Healthy
Frituras,Lauren, 12 gramo,51,6,3,1,Snacks,All Indian,Vegetarian,Healthy
Overnight Oats,Lauren Conrad, 1 cup,267,41,5,16,Snacks,All Indian,Vegetarian,Healthy
Drop Scone,Lauren Homemade, 1 SCONE,461,77,7,20,Snacks,All Indian,Vegetarian,Healthy
Salad Bowl Lauren,Chipotle, 1 bowl,600,49,19,53,Snacks,All Indian,Vegetarian,Healthy
Shirt,Lauren Conrad, 1 ton,0,0,0,0,Snacks,All Indian,Vegetarian,Healthy
ranch light,lauren, 31 g,25,1,2,0,Snacks,All Indian,Vegetarian,Healthy
Egg Whites,Lauren, 3 egg whites,51,0,0,10,Snacks,All Indian,Eggetarian,Healthy
Lauren Muffin,Generic, 1 each,225,0,0,0,Snacks,All Indian,Vegetarian,Healthy
Skinny Oatmeal Smoothie ,Lauren Conrad, 4 cups,548,186,4,20,Snacks,All Indian,Vegetarian,Healthy
Chicken Wings,Lauren, 3 wings,180,3,12,15,Snacks,All Indian,Non Vegetarian,Healthy
oatmeal cranberry cookies ,Sweet lauren, 38 g,150,24,6,2,Snacks,All Indian,Vegetarian,Healthy
salsa para ensaladas,Lauren, 30 gramo,25,1,2,0,Snacks,All Indian,Vegetarian,Healthy
Buritto Bowl -lauren,Qdoba, 1 burrito bowl,465,50,27,23,Snacks,All Indian,Vegetarian,Healthy
Delete-x,Delete-x, 1 g,1,34,3,9,Snacks,All Indian,Vegetarian,Healthy
Apple Butter ,Lauren Lynn, 1 Tbsp (17 g),35,9,0,0,Snacks,All Indian,Vegetarian,Healthy
X-tudo,X-tudo, 1 cup cooked,1250,0,0,0,Snacks,All Indian,Vegetarian,Healthy
"Cherries, Fresh (Each) Lauren Bell",Generic, 1 each,4,0,0,0,Snacks,All Indian,Vegetarian,Healthy
Bison Chili With Beans,Lauren Homemade, 1 cup,327,22,8,23,Snacks,All Indian,Vegetarian,Healthy
Crustless Quiche,Lauren Kelly, 1 slice,58,2,4,6,Snacks,All Indian,Vegetarian,Healthy
lollipop,Lollipop, 1 piece,510,126,0,0,Snacks,All Indian,Vegetarian,Healthy
Lollipop,See's Lollipop, 1 lollypop,80,15,3,0,Snacks,All Indian,Vegetarian,Healthy
Lollipop Chicken,Nawab, 2 wings,244,0,16,0,Dinner,All Indian,Non Vegetarian,Healthy
lollipop,chocolate lollipop, 1 pop,270,31,16,3,Snacks,All Indian,Vegetarian,Healthy
Chicken lollipop,Ambers, 1 fillet,230,10,13,20,Dinner,All Indian,Non Vegetarian,Healthy
Lollipop,Lollipop - Revitapop, 1 Pop,20,5,0,0,Snacks,All Indian,Vegetarian,Healthy
Lollipop,See's Lollipop, 1 lollypop,80,15,3,0,Snacks,All Indian,Vegetarian,Healthy
Lollipop,Smarties Lollipop Orginal, 1 pop 8g,30,7,0,0,Snacks,All Indian,Vegetarian,Healthy
Lollipop giant,Lollipop, 1 serve,413,97,1,1,Dinner,All Indian,Vegetarian,Healthy
Chicken Lollipop,Masala Wok, 4 pieces,644,14,34,37,Dinner,All Indian,Non Vegetarian,Healthy
Lollipop,Generic, 1 Lollipop,30,8,0,0,Snacks,All Indian,Vegetarian,Healthy
Lollipop,Dumdums, 1 lollipop (.174oz),20,7,0,0,Snacks,All Indian,Vegetarian,Healthy
Filipino Chicken Lollipop,Home Cooked, 2 pieces (126g),150,11,7,10,Dinner,All Indian,Non Vegetarian,Healthy
Lollipop,Mexican lollipop spicy mango, 1 serving,59,13,0,0,Snacks,All Indian,Vegetarian,Healthy
Lollipop,Lifesavers, 1 piece,40,10,0,0,Snacks,All Indian,Vegetarian,Healthy
Lollipop,Candytree, 1 lollipop,100,25,0,0,Snacks,All Indian,Vegetarian,Healthy
Lollipop,Lollipop Bouquet, 1 each,60,14,0,0,Snacks,All Indian,Vegetarian,Healthy
Lollipop,Starburst, 13 g,46,11,0,0,Snacks,All Indian,Vegetarian,Healthy
Chicken Lollipop,Nutritionix, 1 piÃ¨ce (27g),88,3,7,5,Dinner,All Indian,Non Vegetarian,Healthy
ð©,Lollipop, 0.125 cup,60,15,0,0,Dinner,All Indian,Vegetarian,Healthy
Chicken Shorba,Home, 0.5 cup cooked,141,5,10,8,Dinner,All Indian,Non Vegetarian,Healthy
Dal Shorba,Homemade, 1 cup,183,27,4,10,Dinner,North Indian,Vegetarian,Healthy
Tomato Shorba,Generic, 6 ounces,160,19,8,4,Dinner,All Indian,Vegetarian,Healthy
Shorba Adus,Homemade, 1 cup,300,0,0,0,Dinner,All Indian,Vegetarian,Healthy
Algerian Shorba Frik,Homemade, 1 Bowl,200,25,5,20,Dinner,All Indian,Vegetarian,Healthy
Famous Soup Shorba,Afghan, 1 bowl,493,77,11,25,Dinner,All Indian,Vegetarian,Healthy
Aloo Matar,Aloo Matar Shorba, 293.3 Gram,219,48,1,7,Snacks,North Indian,Vegetarian,Healthy
Bone Broth,Shorba, 1 cup,40,0,1,8,Dinner,All Indian,Vegetarian,Healthy
Fish and Potato Shorba,Home, 677 g,460,44,10,49,Dinner,All Indian,Non Vegetarian,Healthy
Chicken bone broth,Shorba bone broth, 1 cup,60,0,1,13,Dinner,All Indian,Non Vegetarian,Healthy
Curried Tomato Lentil Soup (Shorba Addis),Generic, 1 cup cooked,202,42,1,9,Dinner,All Indian,Vegetarian,Healthy
the Most Accurate One!,Generic Shorba, 1 cup,100,1,1,50,Breakfast,All Indian,Vegetarian,Healthy
Dal Palak Shorba - Lentil & Spinach Soup (Vegan),Cafe Spice, 8 oz,120,19,2,7,Dinner,North Indian,Vegetarian,Healthy
Dal Shorba,UNC Chapel Hill CDS Carolina Dining Services, 12.07 oz,215,31,6,12,Dinner,North Indian,Vegetarian,Healthy
Dal Shorba With Roasted Garlic,Maggi Cup-a-licious, 150 ml,44,9,1,1,Dinner,North Indian,Vegetarian,Healthy
Curried Tomato Lentil Soup (Shorba Addis),21 Day Vegan Kickstart, 1 Cup,359,75,1,16,Dinner,All Indian,Vegetarian,Healthy
Chicken,Grilled chicken, 4 oz,100,1,2,22,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken,Chicken tenderloin, 1 piece,100,0,1,22,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken,Chicken drumsticks, 1 One drumstick,180,0,10,22,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken Thigh,Chicken, 1 cup,135,0,8,14,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken,Grilled chicken, 4 oz,100,1,2,22,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken Thigh,Chicken, 1 cup,135,0,8,14,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken,Chicken tenderloin, 1 piece,100,0,1,22,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken,Chicken drumsticks, 1 One drumstick,180,0,10,22,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Mc Chicken,Chicken, 1 cup,360,40,16,14,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken,organic chicken, 4 oz,120,0,1,26,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken,Chicken Meijer, 3 oz,120,0,4,21,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Hawaiian Chicken,Chicken, 1 c,247,25,2,30,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Evol Chicken Teriyaki Chicken,Evol Chicken Teriyaki Chicken, 1 bowl,260,43,3,14,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Rotisserie Chicken,Rotisserie chicken, 3 oz,170,1,11,15,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Rotisserie Chicken,Rotisserie chicken, 3 oz,170,1,11,15,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken Wing,Chicken Wing, 1 wing,81,0,5,7,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken Tenders,Bush's Chicken, 2 tenders,280,15,15,21,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Ground Chicken,Ground Chicken, 100 g,160,0,10,18,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Garlic Chicken,Garlic Chicken, 3 oz,299,6,17,30,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken,Baked Chicken Thigh, 1 thigh,135,0,8,14,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken Bacon,chicken bacon, 2 slice,60,1,4,6,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken,Lemon Pepper Chicken, 4 ounces,110,3,3,19,Lunch/Dinner,All Indian,Non Vegetarian,Healthy
Chicken Florentine,Chicken Florentine, 4 oz,260,10,6,40,Dinner,All Indian,Non Vegetarian,Healthy
Chicken & Chicken Gravy,Gerber, 1 jar,100,2,6,8,Dinner,All Indian,Non Vegetarian,Healthy
tutti frutti plus,tutti frutti, 100 gram,287,64,1,3,Snacks,All Indian,Vegetarian,Healthy
Tutti Frutti Special,Tutti Frutti, 1 plate,940,156,0,29,Snacks,All Indian,Vegetarian,Healthy
Vanilla,Tutti Frutti, 0.5 cup,100,21,0,4,Snacks,All Indian,Vegetarian,Healthy
Tutti Frutti,Graze *, 38 g,110,28,0,1,Snacks,All Indian,Vegetarian,Healthy
Chocolate,Tutti Frutti, 0.5 cup,120,26,0,3,Snacks,All Indian,Vegetarian,Healthy
Tutti Frutti,Trident, 2 unidades,6,2,0,0,Snacks,All Indian,Vegetarian,Healthy
Tutti-frutti,Haribo, 100 g,349,82,0,5,Snacks,All Indian,Vegetarian,Healthy
Tutti Frutti,Jumbo, 15 gram,43,10,0,0,Snacks,All Indian,Vegetarian,Healthy
Karkki,Tutti frutti, 100 g,360,83,2,1,Snacks,All Indian,Vegetarian,Healthy
Tart,Tutti Frutti, 0.5 cup,95,20,0,3,Snacks,All Indian,Vegetarian,Healthy
Tutti Frutti,Ah, 100 gm,260,58,1,3,Snacks,All Indian,Vegetarian,Healthy
Tutti Frutti,Euroshopper, 100 g,235,47,2,3,Snacks,All Indian,Vegetarian,Healthy
Tutti Frutti,Cloetta, 100 g,353,83,1,6,Snacks,All Indian,Vegetarian,Healthy
Tutti Frutti,Graze.com, 1 pack,120,30,0,1,Snacks,All Indian,Vegetarian,Healthy
Watermelon,Tutti Frutti, 1 oz,30,6,0,0,Snacks,All Indian,Vegetarian,Healthy
Tutti Frutti,Compal, 200 ml,86,21,0,0,Snacks,All Indian,Vegetarian,Healthy
Tutti  Frutti,Fazer, 100 g,344,84,1,2,Snacks,All Indian,Vegetarian,Healthy
Sorbet,Tutti Frutti, 135 g,88,26,0,0,Snacks,All Indian,Vegetarian,Healthy
Tutti Frutti,Picardnf, 46 g,38,10,1,1,Snacks,All Indian,Vegetarian,Healthy
Tutti Frutti,Alesto, 25 g,54,12,2,1,Snacks,All Indian,Vegetarian,Healthy
Cereal,Wwe Booty O's, 0.75 cup (27g),110,23,1,2,Snacks,All Indian,Vegetarian,Healthy
Fruit Snacks,Wwe, 1 Pouch,70,17,0,1,Snacks,All Indian,Vegetarian,Healthy
Birthday Cake,WWE Cake, 100 gram,445,64,20,3,Snacks,All Indian,Vegetarian,Healthy
